contract A,contract B,similarity,same contract,co-clone
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/Strings,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7624,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Strings,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7623,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Strings,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7604,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/MerkleProof,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7602,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/TheTwist,0.7596,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Counters,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7589,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.7578,TRUE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Strings,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7563,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/ERC20,0.7555,TRUE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Address,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7553,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/Address,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7529,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/SafeMath,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7524,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Address,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7523,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/SafeMath,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7522,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Address,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7513,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Strings,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7509,FALSE,TRUE
0x01da4b9d0814b02eea19041327e1f445929061ed/ERC721A,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/ERC721COLL,0.7509,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/ERC721,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/ERC721COLL,0.7504,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0bfdbb29e068b869670db0f25664faa29d7bdcca_opt/Ownable,0.7504,TRUE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7492,TRUE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/collectors,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7491,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Wabisabi,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/BillionaireCat,0.7485,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20Token,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7478,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/SafeMath,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7477,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0beded78953bc0768da04cee59e23dd148a38922_opt/Ownable,0.7471,TRUE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/ERC1155,0x0b4f48f2dfdddec30ac52178d823982db1b96cd0_opt/ERC721,0.7462,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/Address,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.746,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.7451,TRUE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/Strings,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7439,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Address,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7416,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/SafeMath,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7413,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/Address,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.741,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/ERC1155,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7407,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Address,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7393,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Wabisabi,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7384,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/TheTwist,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/ERC20,0.7374,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/Address,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7371,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Strings,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7369,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20Token,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/TheTwist,0.7357,FALSE,TRUE
0x01da4b9d0814b02eea19041327e1f445929061ed/Strings,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7345,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/SafeMath,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7341,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/NFT,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.734,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7333,FALSE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0beded78953bc0768da04cee59e23dd148a38922_opt/Ownable,0.7329,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/FatBoyClubNFT,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/BillionaireCat,0.7314,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7305,FALSE,TRUE
