contract A,contract B,similarity
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16d08b57afe4e0e323eba83e0282b07c2ed1f1_opt/ERC20.opcode,0.1261
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16d08b57afe4e0e323eba83e0282b07c2ed1f1_opt/Math.opcode,0.0823
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16d08b57afe4e0e323eba83e0282b07c2ed1f1_opt/SafeMath.opcode,0.099
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16d08b57afe4e0e323eba83e0282b07c2ed1f1_opt/Spitz.opcode,0.4083
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0c4a4c089516fe3a630edb090bf1434f1afbe157_opt/Ownable.opcode,0.1646
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0c4a4c089516fe3a630edb090bf1434f1afbe157_opt/SafeMath.opcode,0.0978
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0c4a4c089516fe3a630edb090bf1434f1afbe157_opt/Ichneumon.opcode,0.0604
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0f5780cc24dbe440e5d3a45c6e6f2668636db2_opt/MerkleProof.opcode,0.1036
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0f5780cc24dbe440e5d3a45c6e6f2668636db2_opt/Address.opcode,0.0984
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0f5780cc24dbe440e5d3a45c6e6f2668636db2_opt/RIPTHEQUEEN.opcode,-0.0327
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0f5780cc24dbe440e5d3a45c6e6f2668636db2_opt/Strings.opcode,0.0873
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0f5780cc24dbe440e5d3a45c6e6f2668636db2_opt/ERC721A.opcode,0.0514
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0c5f1b9f55c7a3df5cc7b334d4e4470b59b1db33_opt/SmartContract.opcode,0.0603
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0c5f1b9f55c7a3df5cc7b334d4e4470b59b1db33_opt/SafeMath.opcode,0.0971
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0b44bb51f857b0ca8aded28fdb90414afe9d40_opt/ERC721A.opcode,0.1018
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a0b44bb51f857b0ca8aded28fdb90414afe9d40_opt/NangoHentai.opcode,0.1563
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a76df79cccfc4603c340e5c5680363522a3c1ea_opt/MerkleProof.opcode,0.1001
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a76df79cccfc4603c340e5c5680363522a3c1ea_opt/MercrediVingtQuatre.opcode,0.125
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a76df79cccfc4603c340e5c5680363522a3c1ea_opt/Strings.opcode,0.1125
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a76df79cccfc4603c340e5c5680363522a3c1ea_opt/ERC721A.opcode,0.1331
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a676c96d6eaa49c34e028b3b03b4062c69d8dee_opt/Address.opcode,0.0488
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a676c96d6eaa49c34e028b3b03b4062c69d8dee_opt/SafeMath.opcode,0.1002
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a676c96d6eaa49c34e028b3b03b4062c69d8dee_opt/Uzume.opcode,0.1227
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a5d2045b999469ed0dcae2dc58fec7f83e146f8_opt/MerkleProof.opcode,0.11
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a5d2045b999469ed0dcae2dc58fec7f83e146f8_opt/Strings.opcode,0.1217
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a5d2045b999469ed0dcae2dc58fec7f83e146f8_opt/Build.opcode,0.1739
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a893976720774060055196b2d509f1c44f00bfa_opt/ERC20.opcode,0.0413
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a893976720774060055196b2d509f1c44f00bfa_opt/ShibaKiller.opcode,0.0789
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16cae503e52a951d06459a14c322f6fa52ec1e_opt/Ezekiel.opcode,0.2225
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16cae503e52a951d06459a14c322f6fa52ec1e_opt/Ownable.opcode,0.1532
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0a16cae503e52a951d06459a14c322f6fa52ec1e_opt/SafeMath.opcode,0.0744
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0ae45d0a938f4f07f236e5f43ffb05e79cee8268_opt/TokenIdList.opcode,0.0943
0x0abb26650211713a5ea6b44d27d4cea544c7a7cd/HEMPTOPIA.opcode,0x0ae45d0a938f4f07f236e5f43ffb05e79cee8268_opt/ReentrancyGuard.opcode,0.2177
