contract A,contract B,similarity
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b488c6b945fee6fe5135817c493f5e215775505_opt/Kukai.opcode,0.4229
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b4f7628185d06d955b8c4a7e11efb517a58aced_opt/Address.opcode,0.1398
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b4f7628185d06d955b8c4a7e11efb517a58aced_opt/Strings.opcode,0.1766
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b4f7628185d06d955b8c4a7e11efb517a58aced_opt/OxElfWar.opcode,0.0692
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b4f7628185d06d955b8c4a7e11efb517a58aced_opt/ERC721A.opcode,0.3049
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2bef4db79674c15d448c528565e0c9a6bd7ad30e_opt/WoodyInu.opcode,0.226
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2bef4db79674c15d448c528565e0c9a6bd7ad30e_opt/Ownable.opcode,0.2904
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2bef4db79674c15d448c528565e0c9a6bd7ad30e_opt/SafeMath.opcode,0.1819
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b867548c7519ee534b716d0d6076bddd0df514e_opt/Address.opcode,0.2073
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b867548c7519ee534b716d0d6076bddd0df514e_opt/Ownable.opcode,0.2882
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b867548c7519ee534b716d0d6076bddd0df514e_opt/KITSUNE.opcode,0.183
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2bfa075a9e041d8b76dacd70ec9b3b7dd203f113_opt/FANG.opcode,0.1222
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2bfa075a9e041d8b76dacd70ec9b3b7dd203f113_opt/SafeMath.opcode,0.2054
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c3b1066f8692002e80cd39324187ae6f58eff86_opt/ButteRFlyEffect.opcode,0.3488
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c9d0c447ef18fee39adc14e4a63b10329ae485d_opt/t00bminty00ts.opcode,0.1636
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c9d0c447ef18fee39adc14e4a63b10329ae485d_opt/Address.opcode,0.2042
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c9d0c447ef18fee39adc14e4a63b10329ae485d_opt/Strings.opcode,0.2116
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c9d0c447ef18fee39adc14e4a63b10329ae485d_opt/ECDSA.opcode,0.1894
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2c9d0c447ef18fee39adc14e4a63b10329ae485d_opt/ERC721A.opcode,0.2602
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b995cd10c9f44f93bb81338f6f4938d981af3c0_opt/HEXDAI.opcode,0.1893
0x2ba164cb4de77174743d56b2f051c35cdb73cd01/ERC20.opcode,0x2b995cd10c9f44f93bb81338f6f4938d981af3c0_opt/SafeMath.opcode,0.2203
